Alexander von Humboldt;Club Cruise Fleet & Technical Department;Cat. 2;C6WC2;mail;numéro
Akademik Ioffe;Quark Expeditions;Cat. 1;UAUN;;
Akademik Sergey Vavilov;Quark Expeditions;Cat. 1;UAUO;;
Akademik Shokalskiy;Quark Expeditions;Cat. 1;UBNF;;
Aleksey Maryshev;Oceanwide Expeditions;Cat. 1;UCRD;;
Andrea;Elegant Cruises and Tours;Cat. 1;ELZV7;;
Antarctic Dream;Antarctic Shipping S.A.;Cat. 1;HPSF;;
Bark Europa;Rederij Bark EUROPA B.V.;Cat. 1;PDZS;;
Bremen;Hapag-Lloyd Kreuzfahrten;Cat. 1;C6JC3;;
Clipper Adventurer;Quark Expeditions;Cat. 1;C6PG6;;
Corinthian II;Travel Dynamics International;Cat. 1;9HCO8;;
Delphin;Hansa Kreuzfahrten GmbH;Cat. 2;C6VV2;;
Discovery;Voyages of Discovery;Cat. 2;ZCDG2;;
Fram ;Hurtigruten ASA;Cat. 2;LADA-7;;
Grigoriy Mikheev;Oceanwide Expeditions;Cat. 1;UCRE;;
Hanseatic;Hapag-Lloyd Kreuzfahrten;Cat. 1;C6KA9;;
Hanse Explorer;Oceanstar;Motor Yacht ;V2PD;;
Kapitan Khlebnikov;Quark Expeditions;Cat. 1;UGSE;;
MY Laurel;High Latitudes;Motor Yacht;ZCOV6;;
MY Itasca;High Latitudes;Motor Yacht;ZGHI;;
Le Diamant;Compagnie Des Iles Du Ponant;Cat. 1;FMAQ86;;
Lyubov Orlova;Quark Expeditions;Cat. 1;9HDU5;;
Marco Polo;Transocean Tours Touristik GmbH;Cat. 2;C6JZ7;;
Marina Svetaeva;Aurora Expeditions;Cat. 1;UFKU;;
Minerva (as Category 1);Abercrombie and Kent/ All Leisure Group;Cat. 1;C6NP5;;
National Geographic Endeavour;Lindblad Expeditions;Cat. 1;C6BE4;;
National Geographic Explorer;Lindblad Expeditions;Cat. 1;C6WR2;;
Ocean Nova;Quark Expeditions;Cat. 1;C6US3;;
Orion;Orion Expedition Cruises;Cat. 1;C6TE3;;
Polar Pioneer;Aurora Expeditions;Cat. 1;UBST;;
Polar Star;Polar Star Expeditions;Cat. 1;8PPK;;
Prince Albert II;Silversea Cruises Ltd.;Cat. 1;C6TA8;;
Professor Molchanov;Oceanwide Expeditions;Cat. 1;UAKA;;
Professor Multanovskiy;Oceanwide Expeditions;Cat. 1;UCLA;;
Sarsen;Moir Holdings Australia Pty Ltd;Motor Yacht;J8B2964;;
Spirit of Adventure;Saga Shipping Company Ltd;Cat. 2;C6UM6;;
Spirit of Enderby;Heritage Expeditions;Cat. 1;UBNR;;
Ushuaia;Antarpply Expeditions;Cat. 1;H9KK;;
Amsterdam;Holland America Line, Inc;Cruise only;PBAD;;
Clipper Pacific;Japan Grace Co., Ltd. / Peaceboat ;Cruise only; ;;
Crytsal Symphony;Crystal Cruises, Inc.;Cruise only;C6MY5;;
Prinsendam;Holland America Line, Inc;Cruise only;PBGH;;
Star Princess;Princess Cruises;Cruise only;ZCDD6;;
S/V Australis;Ocean Expeditions;Yacht;vkv6796;;
S/V Golden Fleece;Golden Fleece Expeditions Ltd.;Yacht;ZDLN1;;
S/V Kotick;Kotick Charters Ltd.;Yacht;V2YZ8;;
S/V Pelagic;Pelagic Expeditions LTD;Yacht;ZJL 5390;;
S/V Pelagic Australis;Pelagic Expeditions LTD;Yacht;ZJL 6951;;
S/V Philos;Ocean Expeditions;Yacht;VJT6358;;
S/V Santa Maria Australis;Sea & Ice & Mountains Expeditions;Yacht;CB7835;;
S/V Seal;Sterna Corporation;Yacht;WDB 9031;;
S/V Spirit of Sydney;Spirit of Sydney Expeditions;Yacht;VNRZ;;
S/V Tiama;Tiama Research Expedition Charters;Yacht; ;;
S/V Vaïhéré;Latitude Océane;Yacht;OS8477;;
S/V Xplore;Xplore Expeditions;Yacht;HO-2847;;
